arm_id,task,timestep,reward,success,runtime,cost,steps,log_path
baseline,task_m5,25,0.0,0,180.0,0.16396395000000002,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m6,26,1.0,1,15.4,0.01735215,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m7,27,1.0,1,23.3,0.0231723,7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m8,28,0.0,0,35.5,0.016871700000000003,8,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m9,29,1.0,1,171.2,0.10517715,34,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m10,30,0.0,0,180.0,0.07809630000000001,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m11,31,1.0,1,155.9,0.0995523,31,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m12,32,0.0,0,44.2,0.0098853,7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m13,33,1.0,1,40.2,0.0432438,12,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m14,34,0.0,0,171.7,0.08903505,40,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m15,35,0.0,0,28.4,0.024782549999999997,8,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m16,36,1.0,1,26.7,0.0396426,8,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m17,37,1.0,1,20.7,0.02021295,6,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m18,38,1.0,1,77.4,0.08093415000000001,22,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m19,39,0.0,0,15.7,0.017187149999999998,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m20,40,1.0,1,14.6,0.01754265,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
planner,task_e1,1,1.0,1,19.4,0.020475300000000002,4,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e2,2,1.0,1,51.6,0.02133615,11,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e3,3,1.0,1,37.8,0.0157962,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e4,4,0.0,0,180.0,0.0243795,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e5,5,0.0,0,180.0,0.06300285,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e6,6,0.0,0,180.0,0.04454835,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e7,7,1.0,1,35.0,0.02960505,9,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e8,8,1.0,1,26.0,0.020604149999999998,7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e9,9,1.0,1,28.6,0.01934115,6,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e10,10,0.0,0,180.0,0.06454755000000001,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e11,11,1.0,1,102.5,0.04534950000000001,19,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e12,12,1.0,1,19.8,0.01632945,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e13,13,1.0,1,48.3,0.032948250000000005,9,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e14,14,1.0,1,32.8,0.02006565,6,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e15,15,1.0,1,42.7,0.0221259,7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e16,16,1.0,1,36.5,0.021036150000000003,9,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e17,17,1.0,1,54.6,0.0262101,13,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e18,18,0.0,0,180.0,0.09867945,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e19,19,0.0,0,180.0,0.0447951,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_e20,20,1.0,1,23.2,0.022021350000000002,6,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m1,21,0.0,0,168.9,0.0774369,35,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m2,22,1.0,1,115.1,0.05265945,20,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m3,23,1.0,1,19.3,0.0176682,4,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m4,24,0.0,0,80.2,0.02686215,13,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m5,25,0.0,0,180.0,0.0444939,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m6,26,1.0,1,30.7,0.019161900000000003,6,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m7,27,1.0,1,32.1,0.02033565,7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m8,28,0.0,0,180.0,0.03645045,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m9,29,0.0,0,84.5,0.00977805,7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m10,30,0.0,0,180.0,0.047508600000000005,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m11,31,0.0,0,180.0,0.059097149999999994,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m12,32,0.0,0,180.0,0.0353592,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m13,33,0.0,0,180.0,0.0574089,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m14,34,0.0,0,180.0,0.0227535,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m15,35,0.0,0,180.0,0.040716300000000004,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m16,36,1.0,1,54.9,0.0238731,11,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m17,37,1.0,1,56.1,0.03137685,11,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m18,38,0.0,0,180.0,0.05973435,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m19,39,0.0,0,25.8,0.02168565,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
planner,task_m20,40,1.0,1,24.8,0.020377649999999997,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
cautious,task_e1,1,1.0,1,17.8,0.020060550000000003,4,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e2,2,1.0,1,34.4,0.021785849999999995,8,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e3,3,1.0,1,16.0,0.0204093,4,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e4,4,0.0,0,57.3,0.013849199999999999,8,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e5,5,0.0,0,127.0,0.0317001,16,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e6,6,0.0,0,180.0,0.0588597,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e7,7,1.0,1,74.2,0.0578688,15,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e8,8,1.0,1,45.3,0.01832565,7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e9,9,1.0,1,45.4,0.02602305,8,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e10,10,0.0,0,180.0,0.07941225000000002,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e11,11,1.0,1,73.7,0.0646989,12,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e12,12,1.0,1,16.0,0.01589595,4,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e13,13,1.0,1,86.7,0.031288800000000005,12,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e14,14,1.0,1,21.5,0.019938900000000002,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e15,15,1.0,1,20.7,0.02099115,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e16,16,1.0,1,23.8,0.0190956,6,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e17,17,1.0,1,105.7,0.045942,18,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e18,18,0.0,0,180.0,0.10696215,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e19,19,0.0,0,55.2,0.01689135,9,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_e20,20,1.0,1,26.8,0.0235056,6,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m1,21,0.0,0,178.9,0.09444975000000001,31,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m2,22,1.0,1,108.2,0.054755849999999995,18,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m3,23,1.0,1,18.3,0.016975200000000003,4,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m4,24,1.0,1,86.8,0.052930649999999996,13,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m5,25,0.0,0,180.0,0.05641634999999999,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m6,26,1.0,1,26.6,0.019865849999999997,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m7,27,0.0,0,159.9,0.06527205,20,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m8,28,0.0,0,55.5,0.010078050000000002,7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m9,29,1.0,1,138.8,0.05750805,22,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m10,30,0.0,0,180.0,0.05503155,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m11,31,0.0,0,179.2,0.09467715000000002,35,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m12,32,0.0,0,180.0,0.05790225,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m13,33,0.0,0,180.0,0.08007494999999999,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m14,34,0.0,0,180.0,0.06553935,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m15,35,0.0,0,90.1,0.06171,17,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m16,36,0.0,0,57.1,0.0668028,13,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m17,37,0.0,0,43.1,0.042552599999999996,9,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m18,38,0.0,0,123.5,0.054815100000000005,19,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m19,39,0.0,0,62.4,0.0457821,12,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
cautious,task_m20,40,0.0,0,81.7,0.053356350000000004,14,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
explorer,task_e1,1,0.0,0,49.9,0.0482433,12,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e2,2,0.0,0,14.5,0.01650165,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e3,3,0.0,0,10.5,0.014012700000000001,4,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e4,4,0.0,0,33.8,0.02090715,7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e5,5,0.0,0,180.0,0.11171669999999999,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e6,6,0.0,0,180.0,0.10389945,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e7,7,1.0,1,37.4,0.0352488,10,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e8,8,1.0,1,14.6,0.016014149999999998,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e9,9,1.0,1,23.5,0.0166209,6,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e10,10,0.0,0,180.0,0.0695607,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e11,11,1.0,1,37.8,0.040983450000000005,10,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e12,12,1.0,1,74.8,0.0469194,16,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e13,13,0.0,0,180.0,0.11294280000000002,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e14,14,0.0,0,20.8,0.024665850000000003,6,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e15,15,0.0,0,110.0,0.04690845,19,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e16,16,0.0,0,23.6,0.025313250000000002,7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e17,17,0.0,0,155.2,0.07634985,27,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e18,18,0.0,0,27.9,0.025582050000000002,7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e19,19,0.0,0,180.0,0.07344465,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_e20,20,0.0,0,34.2,0.0342687,9,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_m1,21,0.0,0,74.9,0.052004100000000004,17,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_m2,22,0.0,0,136.5,0.0541392,22,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_m3,23,0.0,0,17.0,0.01681395,4,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_m4,24,0.0,0,55.3,0.0637479,14,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_m5,25,0.0,0,43.0,0.04336544999999999,11,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_m6,26,0.0,0,29.2,0.04299315000000001,8,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_m7,27,0.0,0,180.0,0.13057019999999997,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_m8,28,0.0,0,170.2,0.0756069,29,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_m9,29,0.0,0,63.4,0.0401274,11,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_m10,30,0.0,0,108.1,0.03264135,17,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_m11,31,0.0,0,180.0,0.06716429999999998,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
explorer,task_m12,32,0.0,0,156.1,0.0624189,19,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
