[2026-07-01T12:50:14-0700] watchdog starting interval=60s stale=600s
[2026-07-01T12:50:15-0700] runner active pids=[54360, 54362, 54367]; freshness=0s; completed=0/6; current=top-level
[2026-07-01T13:52:26-0700] runner active pids=[63204, 63205, 63206]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T13:53:26-0700] runner active pids=[63204, 63205, 63206]; freshness=2s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T13:54:26-0700] runner active pids=[63204, 63205, 63206]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T13:55:26-0700] runner active pids=[63204, 63205, 63206]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T13:56:26-0700] runner active pids=[63204, 63205, 63206]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T13:57:26-0700] runner active pids=[63204, 63205, 63206]; freshness=10s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T13:58:26-0700] runner active pids=[63204, 63205, 63206]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T13:59:26-0700] runner active pids=[63204, 63205, 63206]; freshness=4s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:00:26-0700] runner active pids=[63204, 63205, 63206]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:01:26-0700] runner active pids=[63204, 63205, 63206]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:02:27-0700] runner active pids=[63204, 63205, 63206]; freshness=23s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:03:27-0700] runner active pids=[63204, 63205, 63206]; freshness=11s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:04:27-0700] runner active pids=[63204, 63205, 63206]; freshness=14s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:05:27-0700] runner active pids=[63204, 63205, 63206]; freshness=5s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:06:27-0700] runner active pids=[63204, 63205, 63206]; freshness=0s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:07:27-0700] runner active pids=[63204, 63205, 63206]; freshness=2s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:08:27-0700] runner active pids=[63204, 63205, 63206]; freshness=2s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:09:27-0700] runner active pids=[63204, 63205, 63206]; freshness=11s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:10:27-0700] runner active pids=[63204, 63205, 63206]; freshness=5s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:11:27-0700] runner active pids=[63204, 63205, 63206]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:12:27-0700] runner active pids=[63204, 63205, 63206]; freshness=0s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:13:28-0700] runner active pids=[63204, 63205, 63206]; freshness=7s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:14:28-0700] runner active pids=[63204, 63205, 63206]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:15:28-0700] runner active pids=[63204, 63205, 63206]; freshness=6s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:16:28-0700] runner active pids=[63204, 63205, 63206]; freshness=3s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:17:28-0700] runner active pids=[63204, 63205, 63206]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:18:28-0700] runner active pids=[63204, 63205, 63206]; freshness=49s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:19:28-0700] runner active pids=[63204, 63205, 63206]; freshness=109s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:20:28-0700] runner active pids=[63204, 63205, 63206]; freshness=169s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:21:28-0700] runner active pids=[63204, 63205, 63206]; freshness=229s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:22:28-0700] runner active pids=[63204, 63205, 63206]; freshness=290s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:23:29-0700] runner active pids=[63204, 63205, 63206]; freshness=350s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:24:29-0700] runner active pids=[63204, 63205, 63206]; freshness=410s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:25:29-0700] runner active pids=[63204, 63205, 63206]; freshness=470s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:26:29-0700] runner active pids=[63204, 63205, 63206]; freshness=530s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:27:29-0700] runner active pids=[63204, 63205, 63206]; freshness=590s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:28:29-0700] stale runner detected age=650s pids=[63204, 63205, 63206]; terminating and resuming
[2026-07-01T14:28:34-0700] launched resume session=gitlab_alloc_resume_orm_budget160_rep0_59 job=gitlab_strong_allocation_uniform_budget160_rep0 next_t=59 merged=/Users/sanjay/projects/BerkeleyProjects/Research/IanWaudbySmith/coldStartPrompts/results/gitlab_strong_arm/allocation_160/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-01T19-50-27Z_MERGED_SO_FAR.jsonl
[2026-07-01T14:29:35-0700] runner active pids=[68768, 68769, 68770]; freshness=2s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:30:35-0700] runner active pids=[68768, 68769, 68770]; freshness=0s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:31:35-0700] runner active pids=[68768, 68769, 68770]; freshness=9s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:32:35-0700] runner active pids=[68768, 68769, 68770]; freshness=0s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:33:35-0700] runner active pids=[68768, 68769, 68770]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:34:35-0700] runner active pids=[68768, 68769, 68770]; freshness=5s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:35:35-0700] runner active pids=[68768, 68769, 68770]; freshness=9s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:36:35-0700] runner active pids=[68768, 68769, 68770]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:37:35-0700] runner active pids=[68768, 68769, 68770]; freshness=11s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:38:35-0700] runner active pids=[68768, 68769, 68770]; freshness=0s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:39:36-0700] runner active pids=[68768, 68769, 68770]; freshness=2s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:40:36-0700] runner active pids=[68768, 68769, 68770]; freshness=11s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:41:36-0700] runner active pids=[68768, 68769, 68770]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:42:36-0700] runner active pids=[68768, 68769, 68770]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:43:36-0700] runner active pids=[68768, 68769, 68770]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:44:36-0700] runner active pids=[68768, 68769, 68770]; freshness=2s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:45:36-0700] runner active pids=[68768, 68769, 68770]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:46:36-0700] runner active pids=[68768, 68769, 68770]; freshness=5s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:47:36-0700] runner active pids=[68768, 68769, 68770]; freshness=11s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:48:36-0700] runner active pids=[68768, 68769, 68770]; freshness=5s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:49:37-0700] runner active pids=[68768, 68769, 68770]; freshness=10s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:50:37-0700] runner active pids=[68768, 68769, 68770]; freshness=0s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:51:37-0700] runner active pids=[68768, 68769, 68770]; freshness=2s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:52:37-0700] runner active pids=[68768, 68769, 68770]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:53:37-0700] runner active pids=[68768, 68769, 68770]; freshness=3s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:54:37-0700] runner active pids=[68768, 68769, 68770]; freshness=3s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:55:37-0700] runner active pids=[68768, 68769, 68770]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:56:37-0700] runner active pids=[68768, 68769, 68770]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:57:37-0700] runner active pids=[68768, 68769, 68770]; freshness=0s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:58:37-0700] runner active pids=[68768, 68769, 68770]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T14:59:38-0700] runner active pids=[68768, 68769, 68770]; freshness=11s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:00:38-0700] runner active pids=[68768, 68769, 68770]; freshness=4s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:01:38-0700] runner active pids=[68768, 68769, 68770]; freshness=4s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:02:38-0700] runner active pids=[68768, 68769, 68770]; freshness=12s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:03:38-0700] runner active pids=[68768, 68769, 68770]; freshness=2s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:04:38-0700] runner active pids=[68768, 68769, 68770]; freshness=7s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:05:38-0700] runner active pids=[68768, 68769, 68770]; freshness=3s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:06:38-0700] runner active pids=[68768, 68769, 68770]; freshness=4s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:07:38-0700] runner active pids=[68768, 68769, 68770]; freshness=3s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:08:38-0700] runner active pids=[68768, 68769, 68770]; freshness=3s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:09:38-0700] runner active pids=[68768, 68769, 68770]; freshness=4s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:10:39-0700] runner active pids=[68768, 68769, 68770]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:11:39-0700] runner active pids=[68768, 68769, 68770]; freshness=0s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:12:39-0700] runner active pids=[68768, 68769, 68770]; freshness=0s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:13:39-0700] runner active pids=[68768, 68769, 68770]; freshness=6s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:14:39-0700] runner active pids=[68768, 68769, 68770]; freshness=7s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:15:39-0700] runner active pids=[68768, 68769, 68770]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:16:39-0700] runner active pids=[68768, 68769, 68770]; freshness=5s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:17:39-0700] runner active pids=[68768, 68769, 68770]; freshness=6s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:18:39-0700] runner active pids=[68768, 68769, 68770]; freshness=18s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:19:39-0700] runner active pids=[68768, 68769, 68770]; freshness=4s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:20:40-0700] runner active pids=[68768, 68769, 68770]; freshness=2s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:21:40-0700] runner active pids=[68768, 68769, 68770]; freshness=9s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:22:40-0700] runner active pids=[68768, 68769, 68770]; freshness=12s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:23:40-0700] runner active pids=[68768, 68769, 68770]; freshness=34s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:24:40-0700] runner active pids=[68768, 68769, 68770]; freshness=94s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:25:40-0700] runner active pids=[68768, 68769, 68770]; freshness=154s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:26:40-0700] runner active pids=[68768, 68769, 68770]; freshness=214s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:27:40-0700] runner active pids=[68768, 68769, 68770]; freshness=274s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:28:40-0700] runner active pids=[68768, 68769, 68770]; freshness=334s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:29:40-0700] runner active pids=[68768, 68769, 68770]; freshness=395s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:30:41-0700] runner active pids=[68768, 68769, 68770]; freshness=455s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:31:41-0700] runner active pids=[68768, 68769, 68770]; freshness=515s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:32:41-0700] runner active pids=[68768, 68769, 68770]; freshness=575s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:33:41-0700] stale runner detected age=635s pids=[68768, 68769, 68770]; terminating and resuming
[2026-07-01T15:33:46-0700] launched resume session=gitlab_alloc_resume_orm_budget160_rep0_88 job=gitlab_strong_allocation_uniform_budget160_rep0 next_t=88 merged=/Users/sanjay/projects/BerkeleyProjects/Research/IanWaudbySmith/coldStartPrompts/results/gitlab_strong_arm/allocation_160/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-01T19-50-27Z_MERGED_SO_FAR.jsonl
[2026-07-01T15:34:46-0700] runner active pids=[75062, 75063, 75064]; freshness=7s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:35:46-0700] runner active pids=[75062, 75063, 75064]; freshness=3s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:36:47-0700] runner active pids=[75062, 75063, 75064]; freshness=3s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:37:47-0700] runner active pids=[75062, 75063, 75064]; freshness=7s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:38:47-0700] runner active pids=[75062, 75063, 75064]; freshness=6s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:39:47-0700] runner active pids=[75062, 75063, 75064]; freshness=0s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:40:47-0700] runner active pids=[75062, 75063, 75064]; freshness=4s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:41:47-0700] runner active pids=[75062, 75063, 75064]; freshness=1s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:42:47-0700] runner active pids=[75062, 75063, 75064]; freshness=0s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:43:47-0700] runner active pids=[75062, 75063, 75064]; freshness=3s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-01T15:44:47-0700] runner active pids=[75062, 75063, 75064]; freshness=3s; completed=0/6; current=gitlab_strong_allocation_uniform_budget160_rep0
