[2026-07-03T11:29:05-0700] watchdog starting interval=60s stale=600s
[2026-07-03T11:29:05-0700] runner active pids=[12521, 12523, 12528]; freshness=0s; completed=0/6; current=top-level
[2026-07-03T11:52:07-0700] runner active pids=[13911, 13912, 13913]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T11:53:07-0700] runner active pids=[13911, 13912, 13913]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T11:54:07-0700] runner active pids=[13911, 13912, 13913]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T11:55:08-0700] runner active pids=[13911, 13912, 13913]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T11:56:08-0700] runner active pids=[13911, 13912, 13913]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T11:57:08-0700] runner active pids=[13911, 13912, 13913]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T11:58:08-0700] runner active pids=[13911, 13912, 13913]; freshness=4s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T11:59:08-0700] runner active pids=[13911, 13912, 13913]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:00:08-0700] runner active pids=[13911, 13912, 13913]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:01:08-0700] runner active pids=[13911, 13912, 13913]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:02:08-0700] runner active pids=[13911, 13912, 13913]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:03:08-0700] runner active pids=[13911, 13912, 13913]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:04:09-0700] runner active pids=[13911, 13912, 13913]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:05:09-0700] runner active pids=[13911, 13912, 13913]; freshness=7s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:06:09-0700] runner active pids=[13911, 13912, 13913]; freshness=8s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:07:09-0700] runner active pids=[13911, 13912, 13913]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:08:09-0700] runner active pids=[13911, 13912, 13913]; freshness=6s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:09:09-0700] runner active pids=[13911, 13912, 13913]; freshness=15s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:10:09-0700] runner active pids=[13911, 13912, 13913]; freshness=4s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:11:09-0700] runner active pids=[13911, 13912, 13913]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:12:09-0700] runner active pids=[13911, 13912, 13913]; freshness=51s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:13:09-0700] runner active pids=[13911, 13912, 13913]; freshness=111s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:14:10-0700] runner active pids=[13911, 13912, 13913]; freshness=171s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:15:10-0700] runner active pids=[13911, 13912, 13913]; freshness=231s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
