[2026-07-03T12:16:56-0700] watchdog starting interval=60s stale=600s
[2026-07-03T12:16:56-0700] runner active pids=[23022, 23024, 23029]; freshness=0s; completed=0/2; current=top-level
[2026-07-03T12:29:57-0700] runner active pids=[23022, 23024, 23029]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:30:57-0700] runner active pids=[23022, 23024, 23029]; freshness=9s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:31:58-0700] runner active pids=[23022, 23024, 23029]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:32:58-0700] runner active pids=[23022, 23024, 23029]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:33:58-0700] runner active pids=[23022, 23024, 23029]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:34:58-0700] runner active pids=[23022, 23024, 23029]; freshness=4s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:35:58-0700] runner active pids=[23022, 23024, 23029]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:36:58-0700] runner active pids=[23022, 23024, 23029]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:37:58-0700] runner active pids=[23022, 23024, 23029]; freshness=5s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:38:58-0700] runner active pids=[23022, 23024, 23029]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:39:58-0700] runner active pids=[23022, 23024, 23029]; freshness=4s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:40:58-0700] runner active pids=[23022, 23024, 23029]; freshness=5s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:41:58-0700] runner active pids=[23022, 23024, 23029]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:42:59-0700] runner active pids=[23022, 23024, 23029]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:43:59-0700] runner active pids=[23022, 23024, 23029]; freshness=9s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:44:59-0700] runner active pids=[23022, 23024, 23029]; freshness=5s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:45:59-0700] runner active pids=[23022, 23024, 23029]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:46:59-0700] runner active pids=[23022, 23024, 23029]; freshness=6s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:47:59-0700] runner active pids=[23022, 23024, 23029]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:48:59-0700] runner active pids=[23022, 23024, 23029]; freshness=5s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:49:59-0700] runner active pids=[23022, 23024, 23029]; freshness=8s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:50:59-0700] runner active pids=[23022, 23024, 23029]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:51:59-0700] runner active pids=[23022, 23024, 23029]; freshness=7s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:53:00-0700] runner active pids=[23022, 23024, 23029]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:54:00-0700] runner active pids=[23022, 23024, 23029]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:55:00-0700] runner active pids=[23022, 23024, 23029]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:56:00-0700] runner active pids=[23022, 23024, 23029]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:57:00-0700] runner active pids=[23022, 23024, 23029]; freshness=27s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:58:00-0700] runner active pids=[23022, 23024, 23029]; freshness=87s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:59:00-0700] runner active pids=[23022, 23024, 23029]; freshness=147s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:00:00-0700] runner active pids=[23022, 23024, 23029]; freshness=207s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:01:00-0700] runner active pids=[23022, 23024, 23029]; freshness=267s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:02:00-0700] runner active pids=[23022, 23024, 23029]; freshness=327s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:03:01-0700] runner active pids=[23022, 23024, 23029]; freshness=388s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:04:01-0700] runner active pids=[23022, 23024, 23029]; freshness=448s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:05:01-0700] runner active pids=[23022, 23024, 23029]; freshness=508s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:06:01-0700] runner active pids=[23022, 23024, 23029]; freshness=568s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:07:01-0700] stale runner detected age=628s pids=[23022, 23024, 23029]; terminating and resuming
[2026-07-03T13:07:07-0700] launched resume session=gitlab_alloc_resume_orm_budget160_rep0_30 job=gitlab_strong_allocation_uniform_budget160_rep0 next_t=30 merged=/Users/sanjay/projects/BerkeleyProjects/Research/IanWaudbySmith/coldStartPrompts/results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_MERGED_SO_FAR.jsonl
[2026-07-03T13:08:07-0700] runner active pids=[30539, 30540, 30541]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:09:07-0700] runner active pids=[30539, 30540, 30541]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:10:07-0700] runner active pids=[30539, 30540, 30541]; freshness=4s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:11:07-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:12:07-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:13:07-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:14:07-0700] runner active pids=[30539, 30540, 30541]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:15:07-0700] runner active pids=[30539, 30540, 30541]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:16:07-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:17:07-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:18:08-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:19:08-0700] runner active pids=[30539, 30540, 30541]; freshness=6s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:20:08-0700] runner active pids=[30539, 30540, 30541]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:21:08-0700] runner active pids=[30539, 30540, 30541]; freshness=4s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:22:08-0700] runner active pids=[30539, 30540, 30541]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:23:08-0700] runner active pids=[30539, 30540, 30541]; freshness=12s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:24:08-0700] runner active pids=[30539, 30540, 30541]; freshness=10s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:25:08-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:26:08-0700] runner active pids=[30539, 30540, 30541]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:27:08-0700] runner active pids=[30539, 30540, 30541]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:28:09-0700] runner active pids=[30539, 30540, 30541]; freshness=16s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:29:09-0700] runner active pids=[30539, 30540, 30541]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:30:09-0700] runner active pids=[30539, 30540, 30541]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:31:09-0700] runner active pids=[30539, 30540, 30541]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:32:09-0700] runner active pids=[30539, 30540, 30541]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:33:09-0700] runner active pids=[30539, 30540, 30541]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:34:09-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:35:09-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:36:09-0700] runner active pids=[30539, 30540, 30541]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:37:10-0700] runner active pids=[30539, 30540, 30541]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:38:10-0700] runner active pids=[30539, 30540, 30541]; freshness=4s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:39:10-0700] runner active pids=[30539, 30540, 30541]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:40:10-0700] runner active pids=[30539, 30540, 30541]; freshness=5s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:41:10-0700] runner active pids=[30539, 30540, 30541]; freshness=5s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:42:10-0700] runner active pids=[30539, 30540, 30541]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:43:10-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:44:10-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:45:10-0700] runner active pids=[30539, 30540, 30541]; freshness=4s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:46:10-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:47:11-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:48:11-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:49:11-0700] runner active pids=[30539, 30540, 30541]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:50:11-0700] runner active pids=[30539, 30540, 30541]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:51:11-0700] runner active pids=[30539, 30540, 30541]; freshness=7s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:52:11-0700] runner active pids=[30539, 30540, 30541]; freshness=67s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:53:11-0700] runner active pids=[30539, 30540, 30541]; freshness=128s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:54:11-0700] runner active pids=[30539, 30540, 30541]; freshness=188s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:55:11-0700] runner active pids=[30539, 30540, 30541]; freshness=248s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:56:11-0700] runner active pids=[30539, 30540, 30541]; freshness=308s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:57:12-0700] runner active pids=[30539, 30540, 30541]; freshness=368s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:58:12-0700] runner active pids=[30539, 30540, 30541]; freshness=428s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T13:59:12-0700] runner active pids=[30539, 30540, 30541]; freshness=488s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:00:12-0700] runner active pids=[30539, 30540, 30541]; freshness=548s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:01:12-0700] stale runner detected age=608s pids=[30539, 30540, 30541]; terminating and resuming
[2026-07-03T14:01:17-0700] launched resume session=gitlab_alloc_resume_orm_budget160_rep0_60 job=gitlab_strong_allocation_uniform_budget160_rep0 next_t=60 merged=/Users/sanjay/projects/BerkeleyProjects/Research/IanWaudbySmith/coldStartPrompts/results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_MERGED_SO_FAR.jsonl
[2026-07-03T14:02:18-0700] runner active pids=[40070, 40071, 40072]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:03:18-0700] runner active pids=[40070, 40071, 40072]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:04:18-0700] runner active pids=[40070, 40071, 40072]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:05:18-0700] runner active pids=[40070, 40071, 40072]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:06:18-0700] runner active pids=[40070, 40071, 40072]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:07:18-0700] runner active pids=[40070, 40071, 40072]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:08:18-0700] runner active pids=[40070, 40071, 40072]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:09:18-0700] runner active pids=[40070, 40071, 40072]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:10:18-0700] runner active pids=[40070, 40071, 40072]; freshness=5s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:11:18-0700] runner active pids=[40070, 40071, 40072]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:12:19-0700] runner active pids=[40070, 40071, 40072]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:13:19-0700] runner active pids=[40070, 40071, 40072]; freshness=16s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:14:19-0700] runner active pids=[40070, 40071, 40072]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:15:19-0700] runner active pids=[40070, 40071, 40072]; freshness=6s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:16:19-0700] runner active pids=[40070, 40071, 40072]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:17:19-0700] runner active pids=[40070, 40071, 40072]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:18:19-0700] runner active pids=[40070, 40071, 40072]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:19:19-0700] runner active pids=[40070, 40071, 40072]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:20:19-0700] runner active pids=[40070, 40071, 40072]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:21:20-0700] runner active pids=[40070, 40071, 40072]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:22:20-0700] runner active pids=[40070, 40071, 40072]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:23:20-0700] runner active pids=[40070, 40071, 40072]; freshness=4s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:24:20-0700] runner active pids=[40070, 40071, 40072]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:25:20-0700] runner active pids=[40070, 40071, 40072]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:26:20-0700] runner active pids=[40070, 40071, 40072]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:27:20-0700] runner active pids=[40070, 40071, 40072]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:28:20-0700] runner active pids=[40070, 40071, 40072]; freshness=8s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:29:20-0700] runner active pids=[40070, 40071, 40072]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:30:20-0700] runner active pids=[40070, 40071, 40072]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:31:21-0700] runner active pids=[40070, 40071, 40072]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:32:21-0700] runner active pids=[40070, 40071, 40072]; freshness=10s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:33:21-0700] runner active pids=[40070, 40071, 40072]; freshness=7s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:34:21-0700] runner active pids=[40070, 40071, 40072]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:35:21-0700] runner active pids=[40070, 40071, 40072]; freshness=15s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:36:21-0700] runner active pids=[40070, 40071, 40072]; freshness=75s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:37:21-0700] runner active pids=[40070, 40071, 40072]; freshness=135s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:38:21-0700] runner active pids=[40070, 40071, 40072]; freshness=195s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:39:21-0700] runner active pids=[40070, 40071, 40072]; freshness=256s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:40:22-0700] runner active pids=[40070, 40071, 40072]; freshness=316s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:41:22-0700] runner active pids=[40070, 40071, 40072]; freshness=376s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:42:22-0700] runner active pids=[40070, 40071, 40072]; freshness=436s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:43:22-0700] runner active pids=[40070, 40071, 40072]; freshness=496s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:44:22-0700] runner active pids=[40070, 40071, 40072]; freshness=556s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:45:22-0700] stale runner detected age=616s pids=[40070, 40071, 40072]; terminating and resuming
[2026-07-03T14:45:28-0700] launched resume session=gitlab_alloc_resume_orm_budget160_rep0_130 job=gitlab_strong_allocation_uniform_budget160_rep0 next_t=130 merged=/Users/sanjay/projects/BerkeleyProjects/Research/IanWaudbySmith/coldStartPrompts/results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_MERGED_SO_FAR.jsonl
[2026-07-03T14:46:28-0700] runner active pids=[50353, 50354, 50355]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:47:28-0700] runner active pids=[50353, 50354, 50355]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:48:28-0700] runner active pids=[50353, 50354, 50355]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:49:28-0700] runner active pids=[50353, 50354, 50355]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:50:28-0700] runner active pids=[50353, 50354, 50355]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:51:28-0700] runner active pids=[50353, 50354, 50355]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:52:28-0700] runner active pids=[50353, 50354, 50355]; freshness=8s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:53:28-0700] runner active pids=[50353, 50354, 50355]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:54:29-0700] runner active pids=[50353, 50354, 50355]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:55:29-0700] runner active pids=[50353, 50354, 50355]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:56:29-0700] runner active pids=[50353, 50354, 50355]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:57:29-0700] runner active pids=[50353, 50354, 50355]; freshness=4s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:58:29-0700] runner active pids=[50353, 50354, 50355]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T14:59:29-0700] runner active pids=[50353, 50354, 50355]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T15:00:29-0700] runner active pids=[50353, 50354, 50355]; freshness=4s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T15:01:29-0700] runner active pids=[50353, 50354, 50355]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T15:02:29-0700] runner active pids=[50353, 50354, 50355]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T15:03:30-0700] runner active pids=[50353, 50354, 50355]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T15:04:30-0700] runner active pids=[50353, 50354, 50355]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T15:05:30-0700] runner active pids=[50353, 50354, 50355]; freshness=16s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T15:06:30-0700] runner active pids=[50353, 50354, 50355]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T15:07:30-0700] runner active pids=[50353, 50354, 50355]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T15:08:30-0700] runner active pids=[50353, 50354, 50355]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T15:09:30-0700] runner active pids=[50353, 50354, 50355]; freshness=7s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T15:10:30-0700] runner active pids=[50353, 50354, 50355]; freshness=11s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T15:11:30-0700] runner active pids=[50353, 50354, 50355]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
